국가,치명(%),완치(%),발생률,인구수,확진자_합계,확진자1일,치료중_합계,치료중1일,위중증_합계,위중증1일,사망자합계,사망자1일,완치합계,완치1일
모나코🇲🇨,1.3,97.1,64956,39242,2548,,41,,1,,33,,2474,
버뮤다🇧🇲,1.3,98.3,40207,62278,2504,,10,,7,,33,,2461,
터크스 케이커스 제도🇹🇨,0.7,98.6,62608,38717,2424,1,17,+1,2,,18,,2389,
상투메 프린시페🇸🇹,1.6,98.0,10778,219159,2362,,11,,N/A,,37,,2314,
세인트빈센트 그레나딘🇻🇨,0.5,88.2,19794,110940,2195,3,248,+2,2,,12,,1935,+1
세인트마틴 섬🇲🇫,0.6,65.6,55165,38666,2133,,722,,7,,12,,1399,
피지🇫🇯,0.3,25.5,2532,896445,2090,126,1551,+67,2,,7,,532,+59
라오스🇱🇦,0.1,94.8,284,7275560,2054,1,103,-3,N/A,,3,,1948,+4
부탄🇧🇹,0.1,87.1,2513,771608,1924,,247,,N/A,,1,,1676,
모리셔스🇲🇺,1.1,74.4,1338,1271768,1701,,418,,N/A,,18,,1265,
카리브 네덜란드🇧🇶,1.0,98.0,62274,26223,1632,2,16,+2,N/A,,17,,1599,
맨섬🇮🇲,1.8,97.9,18804,85033,1599,,4,,1,,29,,1566,
앤티가 바부다🇦🇬,3.3,96.7,12897,97929,1263,,0,,N/A,,42,,1221,
생바르텔레미🇧🇱,0.1,46.0,101752,9877,1005,,542,,N/A,,1,,462,
페로 제도🇫🇴,0.1,98.6,15717,48863,766,5,10,+5,N/A,,1,,755,
케이맨 제도🇰🇾,0.3,96.5,9266,65722,608,,19,,N/A,,2,,587,
탄자니아🇹🇿,4.1,36.0,9,59734218,509,,305,,7,,21,,183,
왈리스 퓌티나🇼🇫,1.6,98.4,-,-,445,,0,,N/A,,7,,438,
세인트키츠 네비스🇰🇳,0.3,22.0,6579,53199,341,11,265,+9,1,,1,,75,+2
브루나이🇧🇳,1.2,95.7,585,437479,255,3,8,+2,N/A,,3,,244,+1
영국령 버진아일랜드🇻🇬,0.4,84.3,8203,30231,248,,38,,N/A,,1,,209,
도미니카 연방🇩🇲,-,99.0,2653,71986,191,,2,,N/A,,0,,189,
그레나다🇬🇩,0.6,99.4,1431,112523,161,,0,,N/A,,1,,160,
뉴칼레도니아🇳🇨,-,45.0,452,285498,129,,71,,N/A,,0,,58,
앵귈라🇦🇮,-,100,7265,15003,109,,0,,N/A,,0,,109,
포클랜드 제도🇫🇰,-,100,18103,3480,63,,0,,N/A,,0,,63,
마카오🇲🇴,-,96.2,82,649335,53,,2,,N/A,,0,,51,
그린란드🇬🇱,-,81.6,881,56770,49,,9,,N/A,,0,,40,
바티칸 시국🇻🇦,-,100,33708,801,27,,0,,N/A,,0,,27,
생피에르 미클롱🇵🇲,-,96.2,4487,5794,26,,1,,N/A,,0,,25,
몬트세랫🇲🇸,5,95,4006,4992,20,,0,,N/A,,1,,19,
솔로몬 제도🇸🇧,-,100,29,686884,20,,0,,N/A,,0,,20,
서사하라🇪🇭,10,80,17,597339,10,,1,,N/A,,1,,8,
잔담(크루즈)🚢,22.2,77.8,-,-,9,,0,,N/A,,2,,7,
마셜 제도🇲🇭,-,100,68,59190,4,,0,,N/A,,0,,4,
바누아투🇻🇺,25,75,13,307145,4,,0,,N/A,,1,,3,
사모아🇼🇸,-,100,15,198414,3,,0,,N/A,,0,,3,
세인트헬레나🇸🇭,-,100,329,6077,2,,0,,N/A,,0,,2,
미크로네시아🇫🇲,-,100,9,115023,1,,0,,N/A,,0,,1,
