국가,ISO3,치명(%),완치(%),발생률,인구수,확진자_합계,확진자1일,치료중_합계,치료중1일,위중증_합계,위중증1일,사망자합계,사망자1일,완치합계,완치1일,Country,CPI score 2020
니제르🇳🇪,NER,3.5,94.7,226,24206644,5469,,98.0,,2.0,,193,,5178.0,,Niger,32
에리트레아🇪🇷,ERI,0.4,90.3,1553,3546421,5421,59.0,505.0,-20.0,,,19,,4897.0,79.0,Eritrea,21
부룬디🇧🇮,BDI,0.2,14.7,443,11890784,5242,121.0,4461.0,121.0,,,8,,773.0,,Burundi,19
세인트루시아🇱🇨,LCA,1.5,97.1,28465,183627,5218,2.0,73.0,-2.0,,,80,,5065.0,4.0,Saint Lucia,56
차드🇹🇩,TCD,3.5,96.4,301,16425864,4947,1.0,5.0,1.0,,,174,,4768.0,,Chad,21
시에라리온🇸🇱,SLE,1.7,67.0,622,7976983,4879,63.0,1528.0,58.0,,,82,,3269.0,5.0,Sierra Leone,33
바베이도스🇧🇧,BRB,1.2,98.6,14076,287375,4045,2.0,10.0,,,,47,,3988.0,2.0,Barbados,64
코모로🇰🇲,COM,3.7,95.7,4499,869601,3912,4.0,21.0,4.0,,,146,,3745.0,,Comoros,21
기니비사우🇬🇼,GNB,1.8,93.0,1948,1968001,3825,,198.0,,4.0,,69,,3558.0,,Guinea Bissau,19
라이베리아🇱🇷,LBR,3.2,69.8,615,5057681,3109,114.0,841.0,46.0,2.0,,99,4.0,2169.0,64.0,Liberia,28
뉴질랜드🇳🇿,NZL,1.0,98.2,565,4822233,2720,,23.0,,,,26,,2671.0,,New Zealand,88
상투메 프린시페🇸🇹,STP,1.6,98.0,10782,219159,2362,,11.0,,,,37,,2314.0,,Sao Tome and Principe,47
세인트빈센트 그레나딘🇻🇨,VCT,0.5,88.2,19894,110940,2196,1.0,248.0,,2.0,,12,,1936.0,1.0,Saint Vincent and the Grenadines,59
라오스🇱🇦,LAO,0.1,94.5,285,7275560,2067,13.0,110.0,7.0,,,3,,1954.0,6.0,Laos,29
부탄🇧🇹,BTN,0.1,86.9,2544,771608,1939,15.0,253.0,6.0,,,1,,1685.0,9.0,Bhutan,68
모리셔스🇲🇺,MUS,1.1,74.4,1399,1271768,1701,,418.0,,,,18,,1265.0,,Mauritius,53
탄자니아🇹🇿,TZA,4.1,36.0,9,59734218,509,,305.0,,7.0,,21,,183.0,,Tanzania,38
브루나이🇧🇳,BRN,1.2,95.7,585,437479,256,1.0,8.0,,,,3,,245.0,1.0,Brunei Darussalam,60
도미니카 연방🇩🇲,DMA,-,99.0,2653,71986,191,,2.0,,,,0,,189.0,,Dominica,55
그레나다🇬🇩,GRD,0.6,99.4,1431,112523,161,,0.0,,,,1,,160.0,,Grenada,53
솔로몬 제도🇸🇧,SLB,-,100.0,29,686884,20,,0.0,,,,0,,20.0,,Solomon Islands,42
바누아투🇻🇺,VUT,25,75.0,13,307145,4,,0.0,,,,1,,3.0,,Vanuatu,43
